title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Thing,109 min, Horror; Sci-Fi,John Carpenter,Bill Lancaster;John W. Campbell Jr.;Universal Pictures;Turman-Foster Company,Kurt Russell;Wilford Brimley;T.K. Carter;David Clennon;Keith David;Richard Dysart;Charles Hallahan;Peter Maloney;Richard Masur;Donald Moffat;Joel Polis;Thomas G. Waites;Norbert Weisser;Larry J. Franco;Nate Irwin,,"235,928"
No Country for Old Men,122 min, Crime; Drama; Thriller,Ethan Coen;Joel Coen,Joel Coen;Ethan Coen;Paramount Vantage;Miramax;Scott Rudin Productions,Tommy Lee Jones;Javier Bardem;Josh Brolin;Woody Harrelson;Kelly Macdonald;Garret Dillahunt;Tess Harper;Barry Corbin;Stephen Root;Rodger Boyce;Beth Grant;Ana Reeder;Kit Gwin;Zach Hopkins;Chip Love,,"559,347"
The Maltese Falcon,100 min, Crime; Drama; Film-Noir; Mystery,John Huston,John Huston;Dashiell Hammett;Warner Bros.,Humphrey Bogart;Mary Astor;Gladys George;Peter Lorre;Barton MacLane;Lee Patrick;Sydney Greenstreet;Ward Bond;Jerome Cowan;Elisha Cook Jr.;James Burke;Murray Alper;John Hamilton,,"104,580"
Kill Bill: Vol. 1,111 min, Action,Quentin Tarantino,Quentin Tarantino;Quentin Tarantino;Miramax;A Band Apart;Super Cool ManChu,Uma Thurman;Lucy Liu;Vivica A. Fox;Daryl Hannah;David Carradine;Michael Madsen;Julie Dreyfus;Chiaki Kuriyama;Shin'ichi Chiba;Chia-Hui Liu;Michael Parks;Michael Bowen;Jun Kunimura;Kenji Ohba;Yuki Kazamatsuri,,"670,854"
Hotel Rwanda,121 min, Drama; History; War,Terry George,Keir Pearson;Terry George;United Artists;Lions Gate Films;Industrial Development Corporation of South Africa,Xolani Mali;Don Cheadle;Desmond Dube;Hakeem Kae-Kazim;Tony Kgoroge;Rosie Motene;Neil McCarthy;Mabutho 'Kid' Sithole;Nick Nolte;Fana Mokoena;Jeremiah Ndlovu;Sophie Okonedo;Lebo Mashile;Antonio David Lyons;Leleti Khumalo,,"244,678"
Le salaire de la peur,148 min, Adventure; Drama; Thriller,Henri-Georges Clouzot,Georges Arnaud;Henri-Georges Clouzot;Compagnie Industrielle et Commerciale Cinématographique (CICC);Filmsonor;Vera Films,Yves Montand;Charles Vanel;Folco Lulli;Peter van Eyck;Véra Clouzot;William Tubbs;Darío Moreno;Jo Dest;Antonio Centa;Luis De Lima;Grégoire Gromoff;Joseph Palau-Fabre;Faustini;Seguna;Darling Légitimus,,"32,211"
Life of Brian,94 min, Comedy,Terry Jones,Graham Chapman;John Cleese;HandMade Films;Python (Monty) Pictures,Graham Chapman;John Cleese;Terry Gilliam;Eric Idle;Terry Jones;Michael Palin;Terence Bayler;Carol Cleveland;Kenneth Colley;Neil Innes;Charles McKeown;John Young;Gwen Taylor;Sue Jones-Davies;Peter Brett,,"250,568"
Platoon,120 min, Drama; War,Oliver Stone,Oliver Stone;Hemdale Film;Cinema 86,Tom Berenger;Keith David;Willem Dafoe;Forest Whitaker;Francesco Quinn;Kevin Dillon;John C. McGinley;Reggie Johnson;Mark Moses;Corey Glover;Johnny Depp;Chris Pedersen;Bob Orwig;Corkey Ford;David Neidorf,,"270,355"
Butch Cassidy and the Sundance Kid,110 min, Biography; Crime; Western,George Roy Hill,William Goldman;Twentieth Century Fox Film Corporation;Campanile Productions;Newman-Foreman Company,Paul Newman;Robert Redford;Katharine Ross;Strother Martin;Henry Jones;Jeff Corey;George Furth;Cloris Leachman;Ted Cassidy;Kenneth Mars;Donnelly Rhodes;Jody Gilbert;Timothy Scott;Don Keefer;Charles Dierkop,,"139,167"
There Will Be Blood,158 min, Drama,Paul Thomas Anderson,Paul Thomas Anderson;Upton Sinclair;Paramount Vantage;Miramax;Ghoulardi Film Company,Daniel Day-Lewis;Martin Stringer;Matthew Braden Stringer;Jacob Stringer;Joseph Mussey;Barry Del Sherman;Harrison Taylor;Stockton Taylor;Paul F. Tompkins;Dillon Freasier;Kevin Breznahan;Jim Meskimen;Erica Sullivan;Randall Carver;Coco Leigh,,"342,384"
Network,121 min, Drama,Sidney Lumet,Paddy Chayefsky;Metro-Goldwyn-Mayer (MGM);United Artists,Faye Dunaway;William Holden;Peter Finch;Robert Duvall;Wesley Addy;Ned Beatty;Arthur Burghardt;Bill Burrows;John Carpenter;Jordan Charney;Kathy Cronkite;Ed Crowley;Jerome Dempsey;Conchata Ferrell;Gene Gross,,"94,661"
Les quatre cents coups,99 min, Crime; Drama,François Truffaut,François Truffaut;Marcel Moussy;Les Films du Carrosse;Sédif Productions,Jean-Pierre Léaud;Claire Maurier;Albert Rémy;Guy Decomble;Georges Flamant;Patrick Auffay;Daniel Couturier;François Nocher;Richard Kanayan;Renaud Fontanarosa;Michel Girard;Serge Moati;Bernard Abbou;Jean-François Bergouignan;Michel Lesignor,,"63,982"
Touch of Evil,111 min, Crime; Film-Noir; Thriller,Orson Welles,Orson Welles;Whit Masterson;Universal International Pictures (UI),Charlton Heston;Janet Leigh;Orson Welles;Joseph Calleia;Akim Tamiroff;Joanna Moore;Ray Collins;Dennis Weaver;Valentin de Vargas;Mort Mills;Victor Millan;Lalo Rios;Michael Sargent;Phil Harvey;Joi Lansing,,"67,310"
Stand by Me,89 min, Adventure; Drama,Rob Reiner,Stephen King;Raynold Gideon;Columbia Pictures Corporation;Act III;Act III Communications,Wil Wheaton;River Phoenix;Corey Feldman;Jerry O'Connell;Kiefer Sutherland;Casey Siemaszko;Gary Riley;Bradley Gregg;Jason Oliver;Marshall Bell;Frances Lee McCain;Bruce Kirby;William Bronder;Scott Beach;Richard Dreyfuss,,"250,321"
Persona,85 min, Drama,Ingmar Bergman,Ingmar Bergman;Svensk Filmindustri (SF),Bibi Andersson;Liv Ullmann;Margaretha Krook;Gunnar Björnstrand,,"54,892"
12 Years a Slave,134 min, Biography; Drama; History,Steve McQueen,John Ridley;Solomon Northup;Regency Enterprises;River Road Entertainment;Plan B Entertainment,Chiwetel Ejiofor;Dwight Henry;Dickie Gravois;Bryan Batt;Ashley Dyke;Kelsey Scott;Quvenzhané Wallis;Cameron Zeigler;Tony Bentley;Scoot McNairy;Taran Killam;Christopher Berry;Bill Camp;Mister Mackey Jr.;Chris Chalk,,"380,908"
The Princess Bride,98 min, Adventure; Comedy; Family; Fantasy; Romance,Rob Reiner,William Goldman;William Goldman;Act III Communications;Buttercup Films Ltd.;The Princess Bride Ltd.,Cary Elwes;Mandy Patinkin;Chris Sarandon;Christopher Guest;Wallace Shawn;André the Giant;Fred Savage;Robin Wright;Peter Falk;Peter Cook;Mel Smith;Carol Kane;Billy Crystal;Anne Dyson;Margery Mason,,"272,008"
In the Name of the Father,133 min, Biography; Drama; History,Jim Sheridan,Gerry Conlon;Terry George;Hell's Kitchen Films;Universal Pictures,Alison Crosbie;Daniel Day-Lewis;Philip King;Emma Thompson;Nye Heron;Anthony Brophy;Frankie McCafferty;Paul Warriner;Julian Walsh;Stuart Wolfenden;Jo Connor;Karen Carlisle;Seamus Moran;Billy Byrne;Maureen McBride,,"98,952"
Amores perros,115 min, Drama; Thriller,Alejandro González Iñárritu,Guillermo Arriaga;Altavista Films;Zeta Film,Emilio Echevarría;Gael García Bernal;Goya Toledo;Álvaro Guerrero;Vanessa Bauche;Jorge Salinas;Marco Pérez;Rodrigo Murray;Humberto Busto;Gerardo Campbell;Rosa María Bianchi;Dunia Saldívar;Adriana Barraza;José Sefami;Lourdes Echevarría,,"160,518"
The Grand Budapest Hotel,99 min, Adventure; Comedy; Drama,Wes Anderson,Stefan Zweig;Wes Anderson;Fox Searchlight Pictures;Indian Paintbrush;Studio Babelsberg,Ralph Fiennes;F. Murray Abraham;Mathieu Amalric;Adrien Brody;Willem Dafoe;Jeff Goldblum;Harvey Keitel;Jude Law;Bill Murray;Edward Norton;Saoirse Ronan;Jason Schwartzman;Léa Seydoux;Tilda Swinton;Tom Wilkinson,,"400,444"
Annie Hall,93 min, Comedy; Romance,Woody Allen,Woody Allen;Marshall Brickman;Rollins-Joffe Productions,Woody Allen;Diane Keaton;Tony Roberts;Carol Kane;Paul Simon;Shelley Duvall;Janet Margolin;Colleen Dewhurst;Christopher Walken;Donald Symington;Helen Ludlam;Mordecai Lawner;Joan Neuman;Jonathan Munk;Ruth Volner,,"175,812"
Million Dollar Baby,132 min, Drama; Sport,Clint Eastwood,Paul Haggis;F.X. Toole;Warner Bros.;Lakeshore Entertainment;Malpaso Productions,Clint Eastwood;Hilary Swank;Morgan Freeman;Jay Baruchel;Mike Colter;Lucia Rijker;Brían F. O'Byrne;Anthony Mackie;Margo Martindale;Riki Lindhome;Michael Peña;Benito Martinez;Bruce MacVittie;David Powledge;Joe D'Angerio,,"440,828"
Ben Hur,222 min, Adventure; Drama; History; War,William Wyler,Lew Wallace;Karl Tunberg;Metro-Goldwyn-Mayer (MGM),Charlton Heston;Jack Hawkins;Haya Harareet;Stephen Boyd;Hugh Griffith;Martha Scott;Cathy O'Donnell;Sam Jaffe;Finlay Currie;Frank Thring;Terence Longdon;George Relph;André Morell,,"146,386"
The Grapes of Wrath,108 min, Drama,John Ford,Nunnally Johnson;John Steinbeck;Twentieth Century Fox Film Corporation,Henry Fonda;Jane Darwell;John Carradine;Charley Grapewin;Dorris Bowdon;Russell Simpson;O.Z. Whitehead;John Qualen;Eddie Quillan;Zeffie Tilbury;Frank Sully;Frank Darien;Darryl Hickman;Shirley Mills;Roger Imhof,,"57,656"
Shutter Island,138 min, Mystery; Thriller,Martin Scorsese,Laeta Kalogridis;Dennis Lehane;Paramount Pictures;Phoenix Pictures;Sikelia Productions,Leonardo DiCaprio;Mark Ruffalo;Ben Kingsley;Max von Sydow;Michelle Williams;Emily Mortimer;Patricia Clarkson;Jackie Earle Haley;Ted Levine;John Carroll Lynch;Elias Koteas;Robin Bartlett;Christopher Denham;Nellie Sciutto;Joseph Sikora,,"701,056"
Kaze no tani no Naushika,95 min, Animation; Adventure; Fantasy; Sci-Fi,Hayao Miyazaki,Hayao Miyazaki;Hayao Miyazaki;Nibariki;Tokuma Shoten;Hakuhodo,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyôda;Gorô Naya;Ichirô Nagai;Kôhei Miyauchi;Jôji Yanami;Minoru Yada;Rihoko Yoshida;Masako Sugaya;Takako Sasuga;Chika Sakamoto;Tarako;Yôji Matsuda;Mîna Tominaga,,"85,708"
Hachi: A Dog's Tale,93 min, Drama; Family,Lasse Hallström,Stephen P. Lindsey;Kaneto Shindô;Stage 6 Films;Inferno Distribution;Hachiko,Richard Gere;Joan Allen;Cary-Hiroyuki Tagawa;Sarah Roemer;Jason Alexander;Erick Avari;Davenia McFadden;Robbie Sublett;Kevin DeCoste;Rob Degnan;Tora Hallstrom;Donna Sorbello;Frank S. Aronson;Troy Doherty;Ian Sherman,,"130,853"
Demonen,116 min, Drama; Horror; Thriller,Henri-Georges Clouzot,Pierre Boileau;Thomas Narcejac;Filmsonor;Vera Films,Simone Signoret;Véra Clouzot;Paul Meurisse;Charles Vanel;Jean Brochard;Thérèse Dorny;Michel Serrault;Georges Chamarat;Robert Dalban;Camille Guérini;Jacques Hilling;Jean Lefebvre;Aminda Montserrat;Jean Témerson;Jacques Varennes,,"38,388"
Relatos salvajes,122 min, Comedy; Drama; Thriller,Damián Szifrón,Damián Szifrón;Corner Producciones;El Deseo;Instituto Nacional de Cine y Artes Audiovisuales (INCAA),Darío Grandinetti;María Marull;Mónica Villa;Rita Cortese;Julieta Zylberberg;César Bordón;Leonardo Sbaraglia;Walter Donado;Ricardo Darín;Nancy Dupláa;Oscar Martínez;María Onetto;Osmar Núñez;Germán de Silva;Erica Rivas,,"59,688"
Stalker,155 min, Drama; Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy;Boris Strugatskiy;Kinostudiya ''Mosfilm'',Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko;Natalya Abramova;Faime Jurno;E. Kostin;Raymo Rendi,,"61,707"
Sin City,147 min, Crime; Thriller,Frank Miller;Robert Rodriguez,Frank Miller;Dimension Films;Troublemaker Studios,Jessica Alba;Devon Aoki;Alexis Bledel;Powers Boothe;Cara D. Briggs;Jude Ciccolella;Jeffrey J. Dashnaw;Rosario Dawson;Jesse De Luna;Benicio Del Toro;Jason Douglas;Michael Clarke Duncan;Tommy Flanagan;Christina Frankenfield;Rick Gomez,,"614,637"
Gandhi,240 min, Biography; Drama; History,Richard Attenborough,John Briley;International Film Investors;National Film Development Corporation of India (NFDC);Goldcrest Films International,Ben Kingsley;Candice Bergen;Edward Fox;John Gielgud;Trevor Howard;John Mills;Martin Sheen;Ian Charleson;Athol Fugard;Günther Maria Halmer;Saeed Jaffrey;Geraldine James;Alyque Padamsee;Amrish Puri;Roshan Seth,,"157,237"
De beste jaren van ons leven,172 min, Drama; Romance; War,William Wyler,"Robert E. Sherwood;MacKinlay Kantor;Samuel Goldwyn Company, The",Myrna Loy;Fredric March;Dana Andrews;Teresa Wright;Virginia Mayo;Cathy O'Donnell;Hoagy Carmichael;Harold Russell;Gladys George;Roman Bohnen;Ray Collins;Minna Gombell;Walter Baldwin;Steve Cochran;Dorothy Adams,,"37,123"
The Wizard of Oz,102 min, Adventure; Family; Fantasy; Musical,Victor Fleming;George Cukor,Noel Langley;Florence Ryerson;Metro-Goldwyn-Mayer (MGM),Judy Garland;Frank Morgan;Ray Bolger;Bert Lahr;Jack Haley;Billie Burke;Margaret Hamilton;Charley Grapewin;Pat Walshe;Clara Blandick;Terry;The Singer Midgets,,"267,862"
The Bourne Ultimatum,115 min, Action; Thriller,Paul Greengrass,"Tony Gilroy;Scott Z. Burns;Universal Pictures;Motion Picture BETA Produktionsgesellschaft;Kennedy/Marshall Company, The",Matt Damon;Julia Stiles;David Strathairn;Scott Glenn;Paddy Considine;Édgar Ramírez;Albert Finney;Joan Allen;Tom Gallop;Corey Johnson;Daniel Brühl;Joey Ansah;Colin Stinton;Dan Fredenburgh;Lucy Liemann,,"448,259"
Jurassic Park,127 min, Adventure; Sci-Fi; Thriller,Steven Spielberg,Michael Crichton;Michael Crichton;Universal Pictures;Amblin Entertainment,Sam Neill;Laura Dern;Jeff Goldblum;Richard Attenborough;Bob Peck;Martin Ferrero;Joseph Mazzello;Ariana Richards;Samuel L. Jackson;BD Wong;Wayne Knight;Gerald R. Molen;Miguel Sandoval;Cameron Thor;Christopher John Fields,,"545,315"
Donnie Darko,133 min, Drama; Sci-Fi,Richard Kelly,Richard Kelly;Pandora Cinema;Flower Films (II);Adam Fields Productions,Jake Gyllenhaal;Holmes Osborne;Maggie Gyllenhaal;Daveigh Chase;Mary McDonnell;James Duval;Arthur Taxier;Patrick Swayze;Mark Hoffman;David St. James;Tom Tangen;Jazzie Mahannah;Jolene Purdy;Stuart Stone;Gary Lundy,,"538,138"
8½,138 min, Drama,Federico Fellini,Federico Fellini;Ennio Flaiano;Cineriz;Francinex,Marcello Mastroianni;Claudia Cardinale;Anouk Aimée;Sandra Milo;Rossella Falk;Barbara Steele;Madeleine Lebeau;Caterina Boratto;Eddra Gale;Guido Alberti;Mario Conocchia;Bruno Agostini;Cesarino Miceli Picardi;Jean Rougeul;Mario Pisu,,"72,310"
Strangers on a Train,103 min, Crime; Film-Noir; Thriller,Alfred Hitchcock,Raymond Chandler;Czenzi Ormonde;Warner Bros.,Farley Granger;Ruth Roman;Robert Walker;Leo G. Carroll;Patricia Hitchcock;Kasey Rogers;Marion Lorne;Jonathan Hale;Howard St. John;John Brown;Norma Varden;Robert Gist,,"87,977"
Before Sunrise,105 min, Drama; Romance,Richard Linklater,Richard Linklater;Kim Krizan;Castle Rock Entertainment;Detour Filmproduction;Filmhaus Wien Universa Filmproduktions,Ethan Hawke;Julie Delpy;Andrea Eckert;Hanno Pöschl;Karl Bruckschwaiger;Tex Rubinowitz;Erni Mangold;Dominik Castell;Haymon Maria Buttinger;Harald Waiglein;Bilge Jeschim;Kurti;Hans Weingartner;Liese Lyon;Peter Ily Huemer,,"165,320"
Twelve Monkeys,129 min, Mystery; Sci-Fi; Thriller,Terry Gilliam,Chris Marker;David Webb Peoples;Universal Pictures;Atlas Entertainment;Classico,Joseph Melito;Bruce Willis;Jon Seda;Michael Chance;Vernon Campbell;H. Michael Walls;Bob Adrian;Simon Jones;Carol Florence;Bill Raymond;Ernest Abuba;Irma St. Paule;Madeleine Stowe;Joey Perillo;Bruce Kirkpatrick,,"428,517"
The Terminator,107 min, Action; Sci-Fi,James Cameron,James Cameron;Gale Anne Hurd;Hemdale Film;Pacific Western;Euro Film Funding,Arnold Schwarzenegger;Michael Biehn;Linda Hamilton;Paul Winfield;Lance Henriksen;Rick Rossovich;Bess Motta;Earl Boen;Dick Miller;Shawn Schepps;Bruce M. Kerner;Franco Columbu;Bill Paxton;Brad Rearden;Brian Thompson,,"547,818"
The Avengers,173 min, Action; Adventure; Sci-Fi; Thriller,Joss Whedon,Joss Whedon;Zak Penn;Marvel Studios;Paramount Pictures,Robert Downey Jr.;Chris Evans;Mark Ruffalo;Chris Hemsworth;Scarlett Johansson;Jeremy Renner;Tom Hiddleston;Clark Gregg;Cobie Smulders;Stellan Skarsgård;Samuel L. Jackson;Gwyneth Paltrow;Paul Bettany;Alexis Denisof;Tina Benko,,"896,175"
Mou gaan dou,97 min, Crime; Mystery; Thriller,Wai-Keung Lau;Alan Mak,Alan Mak;Felix Chong;Media Asia Films;Basic Pictures,Andy Lau;Tony Chiu Wai Leung;Anthony Chau-Sang Wong;Eric Tsang;Kelly Chen;Sammi Cheng;Edison Chen;Shawn Yue;Elva Hsiao;Chapman To;Ka Tung Lam;Ting Yip Ng;Dion Lam;Chi Keung Wan;Hui Kam Fung,,"85,019"
Groundhog Day,101 min, Comedy; Fantasy; Romance,Harold Ramis,Danny Rubin;Harold Ramis;Columbia Pictures Corporation,Bill Murray;Andie MacDowell;Chris Elliott;Stephen Tobolowsky;Brian Doyle-Murray;Marita Geraghty;Angela Paton;Rick Ducommun;Rick Overton;Robin Duke;Carol Bivins;Willie Garson;Ken Hudson Campbell;Les Podewell;Rod Sell,,"398,127"
Jaws,130 min, Adventure; Drama; Thriller,Steven Spielberg,Peter Benchley;Carl Gottlieb;Zanuck/Brown Productions;Universal Pictures,Roy Scheider;Robert Shaw;Richard Dreyfuss;Lorraine Gary;Murray Hamilton;Carl Gottlieb;Jeffrey Kramer;Susan Backlinie;Jonathan Filley;Ted Grossman;Chris Rebello;Jay Mello;Lee Fierro;Jeffrey Voorhees;Craig Kingsbury,,"377,458"
"Monsters, Inc.",92 min, Animation; Adventure; Comedy; Family; Fantasy,Pete Docter;David Silverman,Pete Docter;Jill Culton;Walt Disney Pictures;Pixar Animation Studios,John Goodman;Billy Crystal;Mary Gibbs;Steve Buscemi;James Coburn;Jennifer Tilly;Bob Peterson;John Ratzenberger;Frank Oz;Daniel Gerson;Steve Susskind;Bonnie Hunt;Jeff Pidgeon;Samuel Lord Black;Jack Angel,,"524,237"
De slag om Algiers,121 min, Drama; History; War,Gillo Pontecorvo,Gillo Pontecorvo;Franco Solinas;Igor Film;Casbah Film,Brahim Hadjadj;Jean Martin;Yacef Saadi;Samia Kerbash;Ugo Paletti;Fusia El Kader;Omar;Mohamed Ben Kassen,,"33,628"
Salinui chueok,127 min, Crime; Drama; Mystery; Thriller,Joon-ho Bong,Joon-ho Bong;Kwang-rim Kim;CJ Entertainment;Muhan Investment;Sidus Pictures,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim;Jae-ho Song;Hie-bong Byeon;Seo-hie Ko;No-shik Park;Hae-il Park;Jong-ryol Choi;Mi-seon Jeon;In-seon Jeong;Ha-kyeong Kim;Jae-eung Lee;Young-hwa Seo;Ji-ru Sung,,"57,717"
The Truman Show,103 min, Drama,Peter Weir,Andrew Niccol;Paramount Pictures;Scott Rudin Productions,Jim Carrey;Laura Linney;Noah Emmerich;Natascha McElhone;Holland Taylor;Brian Delate;Blair Slater;Peter Krause;Heidi Schanz;Ron Taylor;Don Taylor;Ted Raymond;Judy Clayton;Fritz Dominique;Angel Schmiedt,,"605,860"
Harry Potter and the Deathly Hallows: Part 2,130 min, Adventure; Drama; Fantasy; Mystery,David Yates,Steve Kloves;J.K. Rowling;Warner Bros.;Heyday Films;Moving Picture Company (MPC),Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint;Emma Watson;Evanna Lynch;Domhnall Gleeson;Clémence Poésy;Warwick Davis;John Hurt;Helena Bonham Carter;Graham Duff;Anthony Allgood;Rusty Goffe,,"486,610"
Barry Lyndon,184 min, Adventure; Drama; History; War,Stanley Kubrick,Stanley Kubrick;William Makepeace Thackeray;Peregrine;Hawk Films;Warner Bros.,Ryan O'Neal;Marisa Berenson;Patrick Magee;Hardy Krüger;Steven Berkoff;Gay Hamilton;Marie Kean;Diana Körner;Murray Melvin;Frank Middlemass;André Morell;Arthur O'Sullivan;Godfrey Quigley;Leonard Rossiter;Philip Stone,,"92,895"
Fanny och Alexander,312 min, Drama,Ingmar Bergman,Ingmar Bergman;Cinematograph AB;Svenska Filminstitutet (SFI);Gaumont,Kristina Adolphson;Börje Ahlstedt;Pernilla Allwin;Kristian Almgren;Carl Billquist;Axel Düberg;Allan Edwall;Siv Ericks;Ewa Fröling;Patricia Gélin;Majlis Granlund;Maria Granlund;Bertil Guve;Eva von Hanno;Sonya Hedenbratt,,"39,397"
Kumonosu-jô,110 min, Drama,Akira Kurosawa,Hideo Oguni;Shinobu Hashimoto;Toho Company;Kurosawa Production Co.,Toshirô Mifune;Isuzu Yamada;Takashi Shimura;Akira Kubo;Hiroshi Tachikawa;Minoru Chiaki;Takamaru Sasaki;Gen Shimizu;Kokuten Kôdô;Kichijirô Ueda;Eiko Miyoshi;Chieko Naniwa;Nakajirô Tomita;Yû Fujiki;Sachio Sakai,,"27,611"
Dog Day Afternoon,131 min, Crime; Drama,Sidney Lumet,Frank Pierson;P.F. Kluge;Warner Bros.;Artists Entertainment Complex,Penelope Allen;Sully Boyar;John Cazale;Beulah Garrick;Carol Kane;Sandra Kazan;Marcia Jean Kurtz;Amy Levitt;John Marriott;Estelle Omens;Al Pacino;Gary Springer;James Broderick;Charles Durning;Carmine Foresta,,"169,515"
Rocky,145 min, Drama; Sport,John G. Avildsen,Sylvester Stallone;Chartoff-Winkler Productions;United Artists,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers;Burgess Meredith;Thayer David;Joe Spinell;Jimmy Gambina;Bill Baldwin;Al Silvani;George Memmoli;Jodi Letizia;Diana Lewis;George O'Hanlon;Larry Carroll,,"331,520"
Guardians of the Galaxy,121 min, Action; Adventure; Sci-Fi,James Gunn,James Gunn;Nicole Perlman;Marvel Studios;Marvel Enterprises;Moving Picture Company (MPC),Chris Pratt;Zoe Saldana;Dave Bautista;Vin Diesel;Bradley Cooper;Lee Pace;Michael Rooker;Karen Gillan;Djimon Hounsou;John C. Reilly;Glenn Close;Benicio Del Toro;Laura Haddock;Sean Gunn;Peter Serafinowicz,,"569,299"
La haine,98 min, Crime; Drama,Mathieu Kassovitz,Mathieu Kassovitz;Canal+;Cofinergie 6;Egg Pictures,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui;Abdel Ahmed Ghili;Solo;Joseph Momo;Héloïse Rauth;Rywka Wajsbrot;Olga Abrego;Laurent Labasse;Choukri Gabteni;Nabil Ben Mhamed;Benoît Magimel;Médard Niang;Arash Mansour,,"94,093"
Klokslag 12,85 min, Drama; Western,Fred Zinnemann,Carl Foreman;John W. Cunningham;Stanley Kramer Productions,Gary Cooper;Thomas Mitchell;Lloyd Bridges;Katy Jurado;Grace Kelly;Otto Kruger;Lon Chaney Jr.;Harry Morgan;Ian MacDonald;Eve McVeagh;Morgan Farley;Harry Shannon;Lee Van Cleef;Robert J. Wilke;Sheb Wooley,,"74,171"
Yip Man,106 min, Action; Biography; Drama; Sport,Wilson Yip,Edmond Wong;Chan Tai-Li;Beijing ShengShi HuaRei Film Investment &amp; Management Co.;China Film Co-Production Corporation;Mandarin Films Distribution,Donnie Yen;Simon Yam;Ka Tung Lam;Siu-Wong Fan;Lynn Hung;Hiroyuki Ikeuchi;Tenma Shibuya;Xing Yu;Zhi-Hui Chen;You-Nam Wong;Zhang Bo;Rong-Jun Cai;Li Chak;Siu-Kwan Chan;Calvin Ka-Sing Cheng,,"145,022"
The King's Speech,118 min, Biography; Drama,Tom Hooper,"David Seidler;Weinstein Company, The;UK Film Council;Momentum Pictures",Colin Firth;Helena Bonham Carter;Derek Jacobi;Robert Portal;Richard Dixon;Paul Trussell;Adrian Scarborough;Andrew Havill;Charles Armstrong;Roger Hammond;Geoffrey Rush;Calum Gittins;Jennifer Ehle;Dominic Applewhite;Ben Wimsett,,"453,929"
The Imitation Game,114 min, Biography; Drama; Thriller; War,Morten Tyldum,Graham Moore;Andrew Hodges;Black Bear Pictures;Bristol Automotive,Benedict Cumberbatch;Keira Knightley;Matthew Goode;Rory Kinnear;Allen Leech;Matthew Beard;Charles Dance;Mark Strong;James Northcote;Tom Goodman-Hill;Steven Waddington;Ilan Goodman;Jack Tarlton;Alex Lawther;Jack Bannon,,"366,245"
Per un pugno di dollari,99 min, Action; Drama; Western,Sergio Leone,Adriano Bolzoni;Víctor Andrés Catena;Jolly Film;Constantin Film Produktion;Ocean Films,Clint Eastwood;Marianne Koch;Gian Maria Volonté;Wolfgang Lukschy;Sieghardt Rupp;Joseph Egger;Antonio Prieto;José Calvo;Margarita Lozano;Daniel Martín;Benito Stefanelli;Mario Brega;Bruno Carotenuto;Aldo Sambrell,,"130,575"
Pirates of the Caribbean: The Curse of the Black Pearl,143 min, Action; Adventure; Fantasy,Gore Verbinski,Ted Elliott;Terry Rossio;Walt Disney Pictures;Jerry Bruckheimer Films,Johnny Depp;Geoffrey Rush;Orlando Bloom;Keira Knightley;Jack Davenport;Jonathan Pryce;Lee Arenberg;Mackenzie Crook;Damian O'Hare;Giles New;Angus Barnett;David Bailie;Michael Berry Jr.;Isaac C. Singleton Jr.;Kevin McNally,,"743,660"
Prisoners,153 min, Crime; Drama; Mystery; Thriller,Denis Villeneuve,Aaron Guzikowski;Alcon Entertainment;8:38 Productions;Madhouse Entertainment,Hugh Jackman;Jake Gyllenhaal;Viola Davis;Maria Bello;Terrence Howard;Melissa Leo;Paul Dano;Dylan Minnette;Zoë Soul;Erin Gerasimovich;Kyla-Drew;Wayne Duvall;Len Cariou;David Dastmalchian;Brad James,,"332,714"
Notorious,101 min, Drama; Film-Noir; Romance; Thriller,Alfred Hitchcock,Ben Hecht;Vanguard Films;RKO Radio Pictures,Cary Grant;Ingrid Bergman;Claude Rains;Louis Calhern;Leopoldine Konstantin;Reinhold Schünzel;Moroni Olsen;Ivan Triesault;Alexis Minotis;Wally Brown;Charles Mendl;Ricardo Costa;E.A. Krumschmidt;Fay Baker,,"68,744"
Tenkû no shiro Rapyuta,124 min, Animation; Adventure; Family; Fantasy,Hayao Miyazaki,Hayao Miyazaki;Nibariki;Studio Ghibli;Tokuma Shoten,Anna Paquin;James Van Der Beek;Cloris Leachman;Mark Hamill;Richard Dysart;Jim Cummings;John Hostetter;Michael McShane;Mandy Patinkin;Andy Dick;Corey Burton;John DeMita;Debi Derryberry;Eddie Frierson;Susan Hickman,,"88,041"
The Help,, Drama,Tate Taylor,Tate Taylor;Kathryn Stockett;DreamWorks SKG;Reliance Entertainment;Participant Media,Emma Stone;Viola Davis;Bryce Dallas Howard;Octavia Spencer;Jessica Chastain;Ahna O'Reilly;Allison Janney;Anna Camp;Eleanor Henry;Emma Henry;Chris Lowell;Cicely Tyson;Mike Vogel;Sissy Spacek;Brian Kerwin,,"292,525"
