title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Django Unchained,165 min, Western,Quentin Tarantino,"Quentin Tarantino;Weinstein Company, The;Columbia Pictures",Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Kerry Washington;Samuel L. Jackson;Walton Goggins;Dennis Christopher;James Remar;David Steen;Dana Gourrier;Nichole Galicia;Laura Cayouette;Ato Essandoh;Sammi Rotibi;Clay Donahue Fontenot,,"843,282"
Paths of Glory,88 min, Drama; War,Stanley Kubrick,Stanley Kubrick;Calder Willingham;Bryna Productions,Kirk Douglas;Ralph Meeker;Adolphe Menjou;George Macready;Wayne Morris;Richard Anderson;Joe Turkel;Christiane Kubrick;Jerry Hausner;Peter Capell;Emile Meyer;Bert Freed;Kem Dibbs;Timothy Carey;Fred Bell,,"109,846"
The Dark Knight Rises,164 min, Action; Thriller,Christopher Nolan,Jonathan Nolan;Christopher Nolan;Warner Bros.;Legendary Pictures;DC Entertainment,Christian Bale;Gary Oldman;Tom Hardy;Joseph Gordon-Levitt;Anne Hathaway;Marion Cotillard;Morgan Freeman;Michael Caine;Matthew Modine;Alon Aboutboul;Ben Mendelsohn;Burn Gorman;Daniel Sunjata;Aidan Gillen;Sam Kennard,,"1,035,402"
WALL·E,98 min, Animation; Adventure; Family; Sci-Fi,Andrew Stanton,Andrew Stanton;Pete Docter;Walt Disney Pictures;Pixar Animation Studios,Ben Burtt;Elissa Knight;Jeff Garlin;Fred Willard;MacInTalk;John Ratzenberger;Kathy Najimy;Sigourney Weaver;Teddy Newton;Bob Bergen;John Cygan;Pete Docter;Paul Eiding;Donald Fullilove;Teresa Ganzel,,"646,133"
American Beauty,122 min, Drama; Romance,Sam Mendes,Alan Ball;DreamWorks SKG;Jinks/Cohen Company,Kevin Spacey;Annette Bening;Thora Birch;Wes Bentley;Mena Suvari;Chris Cooper;Peter Gallagher;Allison Janney;Scott Bakula;Sam Robards;Barry Del Sherman;Ara Celi;John Cho;Fort Atkinson;Sue Casey,,"758,299"
Hotaru no haka,89 min, Animation; Drama; War,Isao Takahata,Akiyuki Nosaka;Isao Takahata;Shinchosha Company;Studio Ghibli,Tsutomu Tatsumi;Ayano Shiraishi;Yoshiko Shinohara;Akemi Yamaguchi;Shannon Conley;Crispin Freeman;Dan Green;Amy Jones;George Leaver;Corinne Orr;J. Robert Spencer;Nick Sullivan;Veronica Taylor,,"121,681"
Aliens,154 min, Action; Horror; Sci-Fi,James Cameron,James Cameron;David Giler;Twentieth Century Fox Film Corporation;Brandywine Productions;SLM Production Group,Sigourney Weaver;Carrie Henn;Michael Biehn;Paul Reiser;Lance Henriksen;Bill Paxton;Jenette Goldstein;William Hope;Al Matthews;Mark Rolston;Ricco Ross;Colette Hiller;Daniel Kash;Cynthia Dale Scott;Tip Tipping,,"450,515"
Citizen Kane,119 min, Drama; Mystery,Orson Welles,Herman J. Mankiewicz;Orson Welles;RKO Radio Pictures;Mercury Productions,Joseph Cotten;Dorothy Comingore;Agnes Moorehead;Ruth Warrick;Ray Collins;Erskine Sanford;Everett Sloane;William Alland;Paul Stewart;George Coulouris;Fortunio Bonanova;Gus Schilling;Philip Van Zandt;Georgia Backus;Harry Shannon,,"276,551"
North by Northwest,136 min, Adventure; Mystery; Thriller,Alfred Hitchcock,Ernest Lehman;Metro-Goldwyn-Mayer (MGM),Cary Grant;Eva Marie Saint;James Mason;Jessie Royce Landis;Leo G. Carroll;Josephine Hutchinson;Philip Ober;Martin Landau;Adam Williams;Edward Platt;Robert Ellenstein;Les Tremayne;Philip Coolidge;Patrick McVey;Edward Binns,,"204,537"
Oldeuboi,120 min, Drama; Mystery; Thriller,Chan-wook Park,Garon Tsuchiya;Nobuaki Minegishi;Egg Films;Show East,Min-sik Choi;Ji-tae Yu;Hye-jeong Kang;Dae-han Ji;Dal-su Oh;Byeong-ok Kim;Seung-shin Lee;Jin-seo Yoon;Dae-yeon Lee;Kwang-rok Oh;Tae-kyung Oh;Yeon-suk Ahn;Il-han Oo;Su-hyeon Kim;Seung-jin Lee,,"322,969"
Mononoke-hime,134 min, Animation; Adventure; Fantasy,Hayao Miyazaki,Hayao Miyazaki;DENTSU Music And Entertainment;Nibariki;Nippon Television Network (NTV),Billy Crudup;Billy Bob Thornton;Minnie Driver;John DiMaggio;Claire Danes;John DeMita;Jada Pinkett Smith;Gillian Anderson;Keith David;Corey Burton;Tara Strong;Sherry Lynn;Matt K. Miller;Marnie Mosiman;Julia Fletcher,,"199,982"
Vertigo,129 min, Mystery; Romance; Thriller,Alfred Hitchcock,Alec Coppel;Samuel A. Taylor;Alfred J. Hitchcock Productions,James Stewart;Kim Novak;Barbara Bel Geddes;Tom Helmore;Henry Jones;Raymond Bailey;Ellen Corby;Konstantin Shayne;Lee Patrick,,"226,352"
Star Wars: Episode VI - Return of the Jedi,164 min, Action; Adventure; Fantasy; Sci-Fi,Richard Marquand,Lawrence Kasdan;George Lucas;Lucasfilm,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams;Anthony Daniels;Peter Mayhew;Sebastian Shaw;Ian McDiarmid;Frank Oz;James Earl Jones;David Prowse;Alec Guinness;Kenny Baker;Michael Pennington;Kenneth Colley,,"580,505"
Das Boot,138 min, Adventure; Drama; War,Wolfgang Petersen,Wolfgang Petersen;Lothar G. Buchheim;Bavaria Film;Radiant Film GmbH;Süddeutscher Rundfunk (SDR),Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann;Hubertus Bengsch;Martin Semmelrogge;Bernd Tauber;Erwin Leder;Martin May;Heinz Hoenig;Uwe Ochsenknecht;Claude-Oliver Rudolph;Jan Fedder;Ralf Richter;Joachim Bernhard;Oliver Stritzel,,"155,709"
M,108 min, Crime; Drama; Thriller,Fritz Lang,Thea von Harbou;Fritz Lang;Nero-Film AG,Peter Lorre;Ellen Widmann;Inge Landgut;Otto Wernicke;Theodor Loos;Gustaf Gründgens;Friedrich Gnaß;Fritz Odemar;Paul Kemp;Theo Lingen;Rudolf Blümner;Georg John;Franz Stein;Ernst Stahl-Nachbaur;Gerhard Bienert,,"91,138"
Once Upon a Time in America,251 min, Crime; Drama,Sergio Leone,"Harry Grey;Leonardo Benvenuti;Ladd Company, The;Embassy International Pictures;PSO International",Robert De Niro;James Woods;Elizabeth McGovern;Joe Pesci;Burt Young;Tuesday Weld;Treat Williams;Danny Aiello;Richard Bright;James Hayden;William Forsythe;Darlanne Fluegel;Larry Rapp;Richard Foronjy;Robert Harper,,"201,870"
Amélie,122 min, Comedy; Romance,Jean-Pierre Jeunet,Guillaume Laurant;Jean-Pierre Jeunet;Claudie Ossard Productions;Union Générale Cinématographique (UGC);Victoires Productions,Audrey Tautou;Mathieu Kassovitz;Rufus;Lorella Cravotta;Serge Merlin;Jamel Debbouze;Clotilde Mollet;Claire Maurier;Isabelle Nanty;Dominique Pinon;Artus de Penguern;Yolande Moreau;Urbain Cancelier;Maurice Bénichou;Michel Robin,,"490,361"
Inside Out,94 min, Animation; Adventure; Comedy; Drama; Family; Fantasy,Pete Docter;Ronnie Del Carmen,Pete Docter;Ronnie Del Carmen;Walt Disney Pictures;Pixar Animation Studios,Amy Poehler;Phyllis Smith;Richard Kind;Bill Hader;Lewis Black;Mindy Kaling;Kaitlyn Dias;Diane Lane;Kyle MacLachlan;Paula Poundstone;Bobby Moynihan;Paula Pell;Dave Goelz;Frank Oz;Josh Cooley,,"172,394"
